Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
06/10/2025,06/10/2025,06/10/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 06/07/2025 P/D 06/10/2025 - 0.448266 shares at 0.6128,CDIV,,,$0.27
05/01/2025,05/01/2025,05/03/2025,TSLA,Tesla Inc CUSIP: 88160R101 Dividend Reinvestment,Buy,0.000739,$417.73,($0.31)
06/27/2025,06/27/2025,06/28/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Dividend Reinvestment,Buy,0.001214,$522.16,($0.63)
09/12/2024,09/12/2024,09/14/2024,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.000850,$159.21,($0.14)
08/01/2024,08/01/2024,08/01/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 07/26/2024 P/D 08/01/2024 - 0.158755 shares at 0.7207,CDIV,,,$0.11
12/24/2024,12/24/2024,12/24/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 12/19/2024 P/D 12/24/2024 - 0.191829 shares at 0.6646,CDIV,,,$0.13
06/16/2025,06/16/2025,06/16/2025,QCOM,Qualcomm CUSIP: 747525103 Cash Div: R/D 06/12/2025 P/D 06/16/2025 - 0.38206 shares at 0.4608,CDIV,,,$0.18
06/10/2025,06/10/2025,06/11/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.001488,$460.51,($0.69)
09/18/2024,09/18/2024,09/18/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 09/13/2024 P/D 09/18/2024 - 0.14701 shares at 0.8041,CDIV,,,$0.12
02/13/2025,02/13/2025,02/15/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.000420,$86.09,($0.04)
10/29/2024,10/29/2024,10/29/2024,JNJ,Johnson & Johnson CUSIP: 478160104 Cash Div: R/D 10/23/2024 P/D 10/29/2024 - 0.231587 shares at 0.9767,CDIV,,,$0.23
07/04/2024,07/04/2024,07/04/2024,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 07/01/2024 P/D 07/04/2024 - 0.353314 shares at 0.5227,CDIV,,,$0.18
12/28/2024,12/28/2024,12/30/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.001327,$190.79,($0.25)
03/29/2025,03/29/2025,03/29/2025,JNJ,Johnson & Johnson CUSIP: 478160104 Cash Div: R/D 03/24/2025 P/D 03/29/2025 - 0.167904 shares at 0.738,CDIV,,,$0.12
06/30/2025,06/30/2025,07/02/2025,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.000721,$143.66,($0.10)
08/17/2024,08/17/2024,08/17/2024,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 08/12/2024 P/D 08/17/2024 - 0.493655 shares at 0.7541,CDIV,,,$0.37
08/06/2024,08/06/2024,08/06/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 07/31/2024 P/D 08/06/2024 - 0.358416 shares at 0.5827,CDIV,,,$0.21
12/06/2024,12/06/2024,12/06/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 12/01/2024 P/D 12/06/2024 - 0.38269 shares at 1.1124,CDIV,,,$0.43
10/15/2024,10/15/2024,10/16/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Dividend Reinvestment,Buy,0.001057,$515.41,($0.54)
07/12/2024,07/12/2024,07/12/2024,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 07/09/2024 P/D 07/12/2024 - 0.185531 shares at 1.0688,CDIV,,,$0.20
08/31/2024,08/31/2024,08/31/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 08/27/2024 P/D 08/31/2024 - 0.345535 shares at 0.8974,CDIV,,,$0.31
09/16/2024,09/16/2024,09/16/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 09/12/2024 P/D 09/16/2024 - 0.127102 shares at 1.1171,CDIV,,,$0.14
04/02/2025,04/02/2025,04/02/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 03/30/2025 P/D 04/02/2025 - 0.47545 shares at 1.1084,CDIV,,,$0.53
03/18/2025,03/18/2025,03/18/2025,QCOM,Qualcomm CUSIP: 747525103 Cash Div: R/D 03/15/2025 P/D 03/18/2025 - 0.142302 shares at 0.4566,CDIV,,,$0.06
08/18/2024,08/18/2024,08/18/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 08/12/2024 P/D 08/18/2024 - 0.156964 shares at 0.8919,CDIV,,,$0.14
04/10/2025,04/10/2025,04/12/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.000931,$77.46,($0.07)
11/14/2024,11/14/2024,11/15/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.001442,$217.32,($0.31)
08/17/2024,08/17/2024,08/17/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 08/13/2024 P/D 08/17/2024 - 0.368982 shares at 0.9803,CDIV,,,$0.36
11/19/2024,11/19/2024,11/20/2024,AAPL,Apple Inc CUSIP: 037833100 Dividend Reinvestment,Buy,0.000941,$212.02,($0.20)
03/26/2025,03/26/2025,03/27/2025,QCOM,Qualcomm CUSIP: 747525103 Dividend Reinvestment,Buy,0.001071,$144.59,($0.15)
06/14/2025,06/14/2025,06/14/2025,TSLA,Tesla Inc CUSIP: 88160R101 Cash Div: R/D 06/10/2025 P/D 06/14/2025 - 0.427307 shares at 0.8493,CDIV,,,$0.36
03/10/2025,03/10/2025,03/11/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.001488,$70.11,($0.10)
11/27/2024,11/27/2024,11/29/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.000360,$226.91,($0.08)
01/22/2025,01/22/2025,01/22/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 01/16/2025 P/D 01/22/2025 - 0.252412 shares at 1.0668,CDIV,,,$0.27
10/18/2024,10/18/2024,10/18/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 10/12/2024 P/D 10/18/2024 - 0.24624 shares at 0.632,CDIV,,,$0.16
11/21/2024,11/21/2024,11/21/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 11/18/2024 P/D 11/21/2024 - 0.162097 shares at 0.4447,CDIV,,,$0.07
10/04/2024,10/04/2024,10/04/2024,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Cash Div: R/D 10/01/2024 P/D 10/04/2024 - 0.254911 shares at 0.6621,CDIV,,,$0.17
10/01/2024,10/01/2024,10/01/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 09/28/2024 P/D 10/01/2024 - 0.414018 shares at 0.6715,CDIV,,,$0.28
01/26/2025,01/26/2025,01/26/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 01/22/2025 P/D 01/26/2025 - 0.293728 shares at 1.1138,CDIV,,,$0.33
01/15/2025,01/15/2025,01/17/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.001179,$81.87,($0.10)
07/24/2024,07/24/2024,07/25/2024,AAPL,Apple Inc CUSIP: 037833100 Dividend Reinvestment,Buy,0.001210,$220.95,($0.27)
01/30/2025,01/30/2025,01/30/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 01/24/2025 P/D 01/30/2025 - 0.32935 shares at 1.1889,CDIV,,,$0.39
10/02/2024,10/02/2024,10/02/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 09/29/2024 P/D 10/02/2024 - 0.433734 shares at 0.5552,CDIV,,,$0.24
09/28/2024,09/28/2024,09/28/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 09/23/2024 P/D 09/28/2024 - 0.255878 shares at 0.8987,CDIV,,,$0.23
06/03/2025,06/03/2025,06/03/2025,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 05/30/2025 P/D 06/03/2025 - 0.115496 shares at 0.8577,CDIV,,,$0.10
01/15/2025,01/15/2025,01/17/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.000203,$220.40,($0.04)
09/29/2024,09/29/2024,09/29/2024,TSLA,Tesla Inc CUSIP: 88160R101 Cash Div: R/D 09/23/2024 P/D 09/29/2024 - 0.118762 shares at 0.4039,CDIV,,,$0.05
03/31/2025,03/31/2025,03/31/2025,TSLA,Tesla Inc CUSIP: 88160R101 Cash Div: R/D 03/26/2025 P/D 03/31/2025 - 0.497829 shares at 0.4974,CDIV,,,$0.25
04/05/2025,04/05/2025,04/05/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 03/30/2025 P/D 04/05/2025 - 0.307272 shares at 0.4544,CDIV,,,$0.14
11/23/2024,11/23/2024,11/23/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 11/17/2024 P/D 11/23/2024 - 0.34299 shares at 1.1183,CDIV,,,$0.38
06/15/2025,06/15/2025,06/15/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 06/11/2025 P/D 06/15/2025 - 0.175599 shares at 0.4575,CDIV,,,$0.08
01/22/2025,01/22/2025,01/24/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Dividend Reinvestment,Buy,0.000965,$136.88,($0.13)
08/01/2024,08/01/2024,08/02/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.000245,$232.42,($0.06)
06/09/2025,06/09/2025,06/11/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.000831,$405.36,($0.34)
07/26/2024,07/26/2024,07/26/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 07/19/2024 P/D 07/26/2024 - 0.322449 shares at 0.7123,CDIV,,,$0.23
10/19/2024,10/19/2024,10/21/2024,QCOM,Qualcomm CUSIP: 747525103 Dividend Reinvestment,Buy,0.000593,$160.55,($0.10)
09/20/2024,09/20/2024,09/21/2024,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.001193,$153.38,($0.18)
12/21/2024,12/21/2024,12/21/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 12/18/2024 P/D 12/21/2024 - 0.302121 shares at 0.9524,CDIV,,,$0.29
01/23/2025,01/23/2025,01/23/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 01/20/2025 P/D 01/23/2025 - 0.339895 shares at 1.0454,CDIV,,,$0.36
12/03/2024,12/03/2024,12/05/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.001490,$183.66,($0.27)
01/30/2025,01/30/2025,02/01/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Dividend Reinvestment,Buy,0.001163,$581.66,($0.68)
09/27/2024,09/27/2024,09/27/2024,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 09/20/2024 P/D 09/27/2024 - 0.249093 shares at 0.8793,CDIV,,,$0.22
09/17/2024,09/17/2024,09/17/2024,QCOM,Qualcomm CUSIP: 747525103 Cash Div: R/D 09/12/2024 P/D 09/17/2024 - 0.428899 shares at 0.7317,CDIV,,,$0.31
09/16/2024,09/16/2024,09/17/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.001082,$517.63,($0.56)
02/18/2025,02/18/2025,02/18/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 02/14/2025 P/D 02/18/2025 - 0.110879 shares at 0.8057,CDIV,,,$0.09
06/14/2025,06/14/2025,06/14/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 06/07/2025 P/D 06/14/2025 - 0.200962 shares at 0.8834,CDIV,,,$0.18
05/04/2025,05/04/2025,05/04/2025,TSLA,Tesla Inc CUSIP: 88160R101 Cash Div: R/D 05/01/2025 P/D 05/04/2025 - 0.440964 shares at 0.5672,CDIV,,,$0.25
03/04/2025,03/04/2025,03/04/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 02/25/2025 P/D 03/04/2025 - 0.40291 shares at 0.5597,CDIV,,,$0.23
03/03/2025,03/03/2025,03/04/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.000484,$484.19,($0.23)
08/12/2024,08/12/2024,08/13/2024,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.000479,$432.96,($0.21)
12/28/2024,12/28/2024,12/29/2024,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.001468,$78.23,($0.11)
10/02/2024,10/02/2024,10/02/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 09/26/2024 P/D 10/02/2024 - 0.238892 shares at 0.815,CDIV,,,$0.19
08/07/2024,08/07/2024,08/07/2024,QCOM,Qualcomm CUSIP: 747525103 Cash Div: R/D 07/31/2024 P/D 08/07/2024 - 0.45408 shares at 0.9154,CDIV,,,$0.42
01/30/2025,01/30/2025,01/31/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.000649,$493.86,($0.32)
06/21/2025,06/21/2025,06/22/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.001396,$216.58,($0.30)
04/20/2025,04/20/2025,04/20/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 04/17/2025 P/D 04/20/2025 - 0.356433 shares at 0.6871,CDIV,,,$0.24
04/13/2025,04/13/2025,04/13/2025,JNJ,Johnson & Johnson CUSIP: 478160104 Cash Div: R/D 04/10/2025 P/D 04/13/2025 - 0.158771 shares at 0.4229,CDIV,,,$0.07
07/08/2024,07/08/2024,07/08/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 07/02/2024 P/D 07/08/2024 - 0.178163 shares at 1.1483,CDIV,,,$0.20
03/18/2025,03/18/2025,03/18/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Cash Div: R/D 03/11/2025 P/D 03/18/2025 - 0.49472 shares at 0.7558,CDIV,,,$0.37
12/30/2024,12/30/2024,01/01/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Dividend Reinvestment,Buy,0.001045,$131.59,($0.14)
03/27/2025,03/27/2025,03/29/2025,TSLA,Tesla Inc CUSIP: 88160R101 Dividend Reinvestment,Buy,0.000434,$324.21,($0.14)
04/27/2025,04/27/2025,04/27/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Cash Div: R/D 04/20/2025 P/D 04/27/2025 - 0.252301 shares at 0.6432,CDIV,,,$0.16
11/27/2024,11/27/2024,11/27/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 11/24/2024 P/D 11/27/2024 - 0.282549 shares at 1.0252,CDIV,,,$0.29
01/20/2025,01/20/2025,01/20/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 01/13/2025 P/D 01/20/2025 - 0.301986 shares at 0.4476,CDIV,,,$0.14
07/27/2024,07/27/2024,07/29/2024,TSLA,Tesla Inc CUSIP: 88160R101 Dividend Reinvestment,Buy,0.000576,$365.45,($0.21)
07/22/2024,07/22/2024,07/22/2024,TSLA,Tesla Inc CUSIP: 88160R101 Cash Div: R/D 07/18/2024 P/D 07/22/2024 - 0.198295 shares at 1.1594,CDIV,,,$0.23
08/06/2024,08/06/2024,08/07/2024,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.001101,$144.59,($0.16)
07/24/2024,07/24/2024,07/24/2024,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 07/17/2024 P/D 07/24/2024 - 0.13627 shares at 1.0036,CDIV,,,$0.14
08/09/2024,08/09/2024,08/11/2024,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.000481,$131.79,($0.06)
09/01/2024,09/01/2024,09/02/2024,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.000984,$495.34,($0.49)
12/20/2024,12/20/2024,12/20/2024,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 12/15/2024 P/D 12/20/2024 - 0.116916 shares at 0.611,CDIV,,,$0.07
03/09/2025,03/09/2025,03/09/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 03/06/2025 P/D 03/09/2025 - 0.385078 shares at 0.5898,CDIV,,,$0.23
10/12/2024,10/12/2024,10/12/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 10/08/2024 P/D 10/12/2024 - 0.441657 shares at 0.7398,CDIV,,,$0.33
03/02/2025,03/02/2025,03/02/2025,JNJ,Johnson & Johnson CUSIP: 478160104 Cash Div: R/D 02/24/2025 P/D 03/02/2025 - 0.153886 shares at 0.617,CDIV,,,$0.09
07/16/2024,07/16/2024,07/17/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Dividend Reinvestment,Buy,0.000980,$558.39,($0.55)
06/15/2025,06/15/2025,06/15/2025,QCOM,Qualcomm CUSIP: 747525103 Cash Div: R/D 06/12/2025 P/D 06/15/2025 - 0.354592 shares at 0.6512,CDIV,,,$0.23
05/10/2025,05/10/2025,05/10/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 05/03/2025 P/D 05/10/2025 - 0.355018 shares at 0.5623,CDIV,,,$0.20
08/23/2024,08/23/2024,08/23/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 08/18/2024 P/D 08/23/2024 - 0.272274 shares at 1.0377,CDIV,,,$0.28
11/26/2024,11/26/2024,11/28/2024,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.000127,$150.44,($0.02)
05/24/2025,05/24/2025,05/25/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.000634,$212.77,($0.13)
07/27/2024,07/27/2024,07/27/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 07/24/2024 P/D 07/27/2024 - 0.217611 shares at 0.4561,CDIV,,,$0.10
07/03/2024,07/03/2024,07/03/2024,QCOM,Qualcomm CUSIP: 747525103 Cash Div: R/D 06/27/2024 P/D 07/03/2024 - 0.394795 shares at 0.4695,CDIV,,,$0.19
01/19/2025,01/19/2025,01/20/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.000470,$72.52,($0.03)
07/05/2024,07/05/2024,07/07/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.000689,$245.45,($0.17)
10/23/2024,10/23/2024,10/23/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 10/18/2024 P/D 10/23/2024 - 0.420064 shares at 0.8409,CDIV,,,$0.35
07/01/2024,07/01/2024,07/01/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 06/27/2024 P/D 07/01/2024 - 0.231201 shares at 0.5628,CDIV,,,$0.13
03/14/2025,03/14/2025,03/14/2025,TSLA,Tesla Inc CUSIP: 88160R101 Cash Div: R/D 03/10/2025 P/D 03/14/2025 - 0.363263 shares at 0.8038,CDIV,,,$0.29
11/24/2024,11/24/2024,11/24/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 11/17/2024 P/D 11/24/2024 - 0.479803 shares at 0.9949,CDIV,,,$0.48
09/26/2024,09/26/2024,09/26/2024,TSLA,Tesla Inc CUSIP: 88160R101 Cash Div: R/D 09/21/2024 P/D 09/26/2024 - 0.281761 shares at 0.483,CDIV,,,$0.14
08/27/2024,08/27/2024,08/29/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Dividend Reinvestment,Buy,0.000604,$133.20,($0.08)
01/16/2025,01/16/2025,01/17/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.000772,$77.49,($0.06)
05/24/2025,05/24/2025,05/24/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 05/20/2025 P/D 05/24/2025 - 0.480874 shares at 0.4091,CDIV,,,$0.20
02/18/2025,02/18/2025,02/19/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.000328,$207.35,($0.07)
05/16/2025,05/16/2025,05/16/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 05/11/2025 P/D 05/16/2025 - 0.467786 shares at 0.9502,CDIV,,,$0.44
06/12/2025,06/12/2025,06/13/2025,QCOM,Qualcomm CUSIP: 747525103 Dividend Reinvestment,Buy,0.000797,$170.59,($0.14)
07/30/2024,07/30/2024,07/30/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Cash Div: R/D 07/24/2024 P/D 07/30/2024 - 0.464736 shares at 1.1161,CDIV,,,$0.52
05/20/2025,05/20/2025,05/22/2025,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.000850,$132.88,($0.11)
08/03/2024,08/03/2024,08/05/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.000221,$548.94,($0.12)
12/25/2024,12/25/2024,12/25/2024,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 12/18/2024 P/D 12/25/2024 - 0.33429 shares at 1.0579,CDIV,,,$0.35
